Train Number,Train Name,Train Source Stn,Source Dep. Time,Train Destination Stn,Dest. Arr. Time
14609,HEMKUNT EXP     ,RISHIKESH      ,16:15,SHMATA VD KATRA,06:30
14610,HEMKUNT EXP     ,SHMATA VD KATRA,16:20,RISHIKESH      ,08:05
14615,LKU ASR EXP     ,LAL KUAN       ,23:15,AMRITSAR JN    ,14:45
14616,ASR LKU EXP     ,AMRITSAR JN    ,05:55,LAL KUAN       ,20:50
14623,PATALKOT EXP    ,CHHINDWARA JN  ,10:15,DELHI S ROHILLA,06:15
14624,PATALKOT EXP    ,DELHI S ROHILLA,12:20,CHHINDWARA JN  ,09:50
14625,FZR INTERCITY   ,DELHI S ROHILLA,06:45,FIROZPUR CANT  ,14:45
14626,DEE INTERCITY   ,FIROZPUR CANT  ,04:20,DELHI S ROHILLA,11:40
14631,DDN ASR EXPRESS ,DEHRADUN       ,19:00,AMRITSAR JN    ,07:30
14632,ASR DDN EXPRESS ,AMRITSAR JN    ,22:15,DEHRADUN       ,10:15
14645,SHALIMAR EXP    ,DELHI          ,15:50,JAMMU TAWI     ,05:25
14646,SHALIMAR EXP    ,JAMMU TAWI     ,20:40,DELHI          ,10:55
14649,SARYU YAMUNA EXP,JAYNAGAR       ,06:30,AMRITSAR JN    ,23:25
14650,SARYUYAMUNA EXP ,AMRITSAR JN    ,11:55,JAYNAGAR       ,01:30
14659,DLI JSM EXPRESS ,DELHI          ,17:35,JAISALMER      ,11:30
14660,JSM DLI EXPRESS ,JAISALMER      ,17:00,DELHI          ,11:15
14662,MALANI EXP      ,BARMER         ,18:00,DELHI          ,11:15
14673,SHAHEED EXPRESS ,JAYNAGAR       ,06:30,AMRITSAR JN    ,23:30
14674,SHAHEED EXP     ,AMRITSAR JN    ,11:55,JAYNAGAR       ,01:30
14681,NDLS JUC EXPRES ,NEW DELHI      ,14:45,JALANDHAR CITY ,23:50
14682,JUC NDLS EXPRES ,JALANDHAR CITY ,04:10,NEW DELHI      ,12:55
14701,JSM BKN EXPRESS ,JAISALMER      ,22:40,BIKANER JN     ,04:35
14702,BKN JSM EXPRESS ,BIKANER JN     ,22:35,JAISALMER      ,04:30
14703,JSM LGH EXP     ,JAISALMER      ,11:10,LALGARH JN     ,16:35
14704,LGH JSM EXP     ,LALGARH JN     ,07:20,JAISALMER      ,13:00
14705,DEE BGKT EXP    ,DELHI S ROHILLA,07:05,BHAGAT KI KOTHI,19:15
14706,BGKT DEE EXP    ,BHAGAT KI KOTHI,10:00,DELHI S ROHILLA,22:10
14707,RANAKPUR EXPRES ,BIKANER JN     ,09:30,BANDRA TERMINUS,09:40
14708,RANAKPUR EXPRES ,BANDRA TERMINUS,15:05,BIKANER JN     ,15:35
14709,BKN PURI EXP    ,BIKANER JN     ,16:40,PURI           ,10:15
14710,PURI BKN EXPRESS,PURI           ,05:30,BIKANER JN     ,22:30
14711,RKSH SGNR EXP   ,RISHIKESH      ,14:50,SHRI GANGANAGAR,02:30
14712,SGNR RKSH EXP   ,SHRI GANGANAGAR,04:10,RISHIKESH      ,14:25
14713,SGNR JAT EXP    ,SHRI GANGANAGAR,14:45,JAMMU TAWI     ,02:35
14714,JAT SGNR EXP    ,JAMMU TAWI     ,05:30,SHRI GANGANAGAR,18:20
14723,KALINDI EXPRESS ,KANPUR CENTRAL ,17:25,BHIWANI        ,09:40
14724,KALINDI EXPRESS ,BHIWANI        ,18:35,KANPUR CENTRAL ,11:10
14731,DLI FKA EXP     ,DELHI          ,14:15,FAZILKA        ,01:05
14732,FKA DLI EXP     ,FAZILKA        ,02:00,DELHI          ,12:45
14801,JU GIMB SF EXP  ,JODHPUR JN     ,20:45,GANDHIDHAM BG  ,06:35
14802,JODHPUR EXPRESS ,GANDHIDHAM BG  ,20:30,JODHPUR JN     ,05:40
14803,BGKT ADI EXPRESS,BHAGAT KI KOTHI,10:25,AHMEDABAD JN   ,20:00
14804,ADI BGKT EXPRESS,AHMEDABAD JN   ,21:00,BHAGAT KI KOTHI,07:10
14805,BARMER AC EXP   ,YESVANTPUR JN  ,10:30,BARMER         ,08:00
14806,BME YPR AC EXP  ,BARMER         ,01:00,YESVANTPUR JN  ,03:15
14809,JSM JU EXPRESS  ,JAISALMER      ,08:00,JODHPUR JN     ,13:50
14810,JU JSM EXPRESS  ,JODHPUR JN     ,23:45,JAISALMER      ,05:25
14811,SIKR DEE EXPRESS,SIKAR JN       ,14:20,DELHI S ROHILLA,21:00
14812,DEE SIKAR EXP   ,DELHI S ROHILLA,06:50,SIKAR JN       ,13:15
14853,MARUDHAR EXPRES ,VARANASI JN    ,17:25,JODHPUR JN     ,17:50
14854,MARUDHAR EXPRES ,JODHPUR JN     ,09:40,VARANASI JN    ,10:30
14863,MARUDHAR EXPRES ,VARANASI JN    ,18:15,JODHPUR JN     ,17:50
14864,MARUDHAR EXPRES ,JODHPUR JN     ,09:40,VARANASI JN    ,08:40
14865,MARUDHAR EXPRES ,VARANASI JN    ,18:15,JODHPUR JN     ,17:50
14866,MARUDHAR EXPRES ,JODHPUR JN     ,09:40,VARANASI JN    ,08:50
14887,KLK BME EXPRESS ,KALKA          ,21:30,BARMER         ,20:15
14888,BARMER  KLK EXP ,BARMER         ,06:45,KALKA          ,05:55
14889,JU MBF LINK EXP ,BHAGAT KI KOTHI,01:00,MUNABAO        ,07:00
14890,MBF BGKT EXP    ,MUNABAO        ,19:00,BHAGAT KI KOTHI,23:50
15001,MFP DDN EXP     ,MUZAFFARPUR JN ,14:00,DEHRADUN       ,14:00
15002,DDN MFP EXP     ,DEHRADUN       ,15:30,MUZAFFARPUR JN ,16:10
15003,CHAURICHAURAEXP ,KANPUR ANWRGANJ,16:45,GORAKHPUR JN   ,06:55
15004,CHAURICHAURAEXP ,GORAKHPUR JN   ,22:45,KANPUR ANWRGANJ,12:05
15005,GKP DDN EXPRESS ,GORAKHPUR JN   ,21:15,DEHRADUN       ,14:00
15006,DDN GKP EXP     ,DEHRADUN       ,15:30,GORAKHPUR JN   ,07:55
15007,BCY  LJN EXPRESS,VARANASI CITY  ,16:55,LUCKNOW NE     ,05:45
15008,LJN  BCY  EXP   ,LUCKNOW NE     ,23:05,VARANASI CITY  ,13:00
15009,CHITRAKUT  EXP  ,LUCKNOW NE     ,17:30,JABALPUR       ,07:15
15010,CHITRAKUT EXP   ,JABALPUR       ,20:40,LUCKNOW NE     ,09:30
15011,LJN CDG EXPRESS ,LUCKNOW NE     ,23:00,CHANDIGARH     ,14:50
15012,CDG LJN EXPRESS ,CHANDIGARH     ,17:05,LUCKNOW NE     ,09:10
15013,RANIKHET EXP    ,JAISALMER      ,00:45,KATHGODAM      ,05:05
15014,RANIKHET EXP    ,KATHGODAM      ,20:40,JAISALMER      ,23:15
15015,GKP YPR EXPRESS ,GORAKHPUR JN   ,06:35,YESVANTPUR JN  ,09:45
15016,YPR GORAKPUR EXP,YESVANTPUR JN  ,07:35,GORAKHPUR JN   ,14:00
15017,GORAKHPUR EXP   ,LOKMANYATILAK T,06:35,GORAKHPUR JN   ,19:10
15018,GKP LTT EXP     ,GORAKHPUR JN   ,05:30,LOKMANYATILAK T,18:05
15019,NTV INTERCITY   ,GORAKHPUR JN   ,11:30,NAUTANWA       ,14:00
15020,GKP INTERCITY   ,NAUTANWA       ,14:40,GORAKHPUR JN   ,16:40
15021,SHM GKP EXPRESS ,SHALIMAR       ,20:22,GORAKHPUR JN   ,16:25
15022,GKP SHM EXPRESS ,GORAKHPUR JN   ,13:40,SHALIMAR       ,09:55
15023,GKP YPR EXP     ,GORAKHPUR JN   ,08:45,YESVANTPUR JN  ,11:15
15024,YPR GKP EXP     ,YESVANTPUR JN  ,23:40,GORAKHPUR JN   ,05:10
15025,MAU ANVT EXPRESS,MAU JN         ,10:45,ANAND VIHAR TRM,06:20
15026,ANVT MAU EXP    ,ANAND VIHAR TRM,12:55,MAU JN         ,06:40
15027,MAURYA EXP      ,HATIA          ,17:05,GORAKHPUR JN   ,17:25
15028,MAURYA EXPRESS  ,GORAKHPUR JN   ,07:25,HATIA          ,08:10
15029,GKP PUNE EXP    ,GORAKHPUR JN   ,17:25,PUNE JN        ,04:05
15030,PUNE GKP EXPRESS,PUNE JN        ,10:45,GORAKHPUR JN   ,21:55
15031,RMR CDG EXP     ,RAMNAGAR       ,05:15,CHANDIGARH     ,13:35
15032,CDG RMR  EXP    ,CHANDIGARH     ,16:00,RAMNAGAR       ,23:35
15033,HW RMR EXP      ,HARIDWAR JN    ,18:30,RAMNAGAR       ,23:35
15034,RMR HW EXP      ,RAMNAGAR       ,08:35,HARIDWAR JN    ,14:25
15035,UTR SAMPRK K EX ,DELHI          ,16:00,KATHGODAM      ,22:40
15036,UTR SAMPRK K EX ,KATHGODAM      ,08:50,DELHI          ,15:20
15043,LJN KGM EXP     ,LUCKNOW NE     ,08:05,KATHGODAM      ,14:55
15044,KGM LJN EXP     ,KATHGODAM      ,16:05,LUCKNOW NE     ,23:55
15045,GKP OKHA EXPRES ,GORAKHPUR JN   ,04:45,OKHA           ,04:20
15046,GORAKHPUR EXP   ,OKHA           ,19:15,GORAKHPUR JN   ,20:00
15047,PURBANCHAL EXP  ,KOLKATA        ,14:30,GORAKHPUR JN   ,07:45
15048,PURVANCHAL EXP  ,GORAKHPUR JN   ,11:30,KOLKATA        ,04:25
15049,KOAA  GKP  EXP  ,KOLKATA        ,14:30,GORAKHPUR JN   ,09:40
15050,GKP KOLKATA EXP ,GORAKHPUR JN   ,08:00,KOLKATA        ,04:25
15051,KOAA GKP EXP    ,KOLKATA        ,14:30,GORAKHPUR JN   ,08:10
15052,GKP KOLKATA EXP ,GORAKHPUR JN   ,10:10,KOLKATA        ,04:25
15053,CPR LJN EXP     ,CHHAPRA        ,19:35,LUCKNOW NE     ,09:00
15054,LJN CPR EXP     ,LUCKNOW NE     ,21:00,CHHAPRA        ,12:15
15055,AF RMR EXPRESS  ,AGRA FORT      ,11:20,RAMNAGAR       ,23:55
15056,RMR AF EXP      ,RAMNAGAR       ,17:55,AGRA FORT      ,06:30
15057,GKP ANVT EXP    ,GORAKHPUR JN   ,20:55,ANAND VIHAR TRM,11:00
15058,ANVT GKP EXP    ,ANAND VIHAR TRM,17:10,GORAKHPUR JN   ,08:20
15097,AMARNATH EXP    ,BHAGALPUR      ,23:50,JAMMU TAWI     ,12:30
15098,AMARNATH EXP    ,JAMMU TAWI     ,22:45,BHAGALPUR      ,10:00
15103,MUV INTERCITY   ,GORAKHPUR JN   ,16:00,MANDUADIH      ,21:45
15104,GKP INTERCITY   ,MANDUADIH      ,05:25,GORAKHPUR JN   ,11:10
15105,GKP INTERCITY   ,CHHAPRA        ,06:30,GORAKHPUR JN   ,10:30
15106,CPR INTERCITY   ,GORAKHPUR JN   ,17:00,CHHAPRA        ,21:15
15107,CPR MTJ EXPRESS ,CHHAPRA        ,05:00,MATHURA JN     ,21:55
