Train Number,Train Name,Train Source Stn,Source Dep. Time,Train Destination Stn,Dest. Arr. Time
15901,DIBRUGARH EXP   ,KSR BENGALURU  ,23:55,DIBRUGARH      ,21:00
15902,DBRG SBC EXPRESS,DIBRUGARH      ,18:30,KSR BENGALURU  ,11:50
15903,DBRG CDG EXPRESS,DIBRUGARH      ,08:40,CHANDIGARH     ,13:35
15904,CDG DBRG EXPRESS,CHANDIGARH     ,23:15,DIBRUGARH      ,07:20
15905,DBRG  VIVEK EXP ,KANYAKUMARI    ,23:00,DIBRUGARH      ,07:15
15906,VIVEK EXPRESS   ,DIBRUGARH      ,23:35,KANYAKUMARI    ,09:50
15909,ABADH ASSAM EXP ,NEW TINSUKIA JN,10:40,LALGARH JN     ,05:45
15910,AVADH ASSAM EXP ,LALGARH JN     ,19:45,NEW TINSUKIA JN,15:00
15927,RNY DBRG EXPRESS,RANGIYA JN     ,05:45,DIBRUGARH      ,18:15
15928,DBRG RNY EXPRESS,DIBRUGARH      ,06:00,RANGIYA JN     ,18:20
15929,DIBRUGARH EXP   ,CHENNAI EGMORE ,22:30,DIBRUGARH      ,18:00
15930,DBRG MS EXPRESS ,DIBRUGARH      ,23:45,CHENNAI EGMORE ,20:15
15933,DBRG ASR EXPRESS,DIBRUGARH      ,07:00,AMRITSAR JN    ,21:00
15934,ASR DBRG EXPRESS,AMRITSAR JN    ,15:50,DIBRUGARH      ,05:25
15941,JHAJHA DBRG EXP ,JHAJHA         ,22:05,DIBRUGARH      ,10:30
15942,DBRG JHAJHA EXP ,DIBRUGARH      ,05:50,JHAJHA         ,17:50
15959,KAMRUP EXPRESS  ,HOWRAH JN      ,17:35,DIBRUGARH      ,05:45
15960,KAMRUP EXPRESS  ,DIBRUGARH      ,18:25,HOWRAH JN      ,05:45
16003,MAS NSL EXPRESS ,CHENNAI CENTRAL,09:15,NAGARSOL       ,11:55
16004,NSL MAS WKLY EXP,NAGARSOL       ,13:30,CHENNAI CENTRAL,16:45
16021,KAVERI  EXPRESS ,CHENNAI CENTRAL,21:00,MYSURU JN      ,06:50
16022,KAVERI EXPRESS  ,MYSURU JN      ,20:30,CHENNAI CENTRAL,07:00
16031,ANDAMAN EXPRESS ,CHENNAI CENTRAL,05:15,SHMATA VD KATRA,15:20
16032,ANDAMAN EXPRESS ,SHMATA VD KATRA,21:55,CHENNAI CENTRAL,10:10
16044,PUDUCHERRY EXP  ,MANGALORE CNTL ,16:10,PUDUCHERRY     ,08:00
16053,TIRUPATHI EXP   ,CHENNAI CENTRAL,14:10,TIRUPATI       ,17:40
16054,MADRAS EXPRESS  ,TIRUPATI       ,10:10,CHENNAI CENTRAL,13:40
16057,SAPTHAGIRI EXP  ,CHENNAI CENTRAL,06:25,TIRUPATI       ,09:40
16058,SAPTAGIRI EXP   ,TIRUPATI       ,17:50,CHENNAI CENTRAL,21:35
16093,LUCKNOW EXP     ,CHENNAI CENTRAL,05:15,LUCKNOW NR     ,20:35
16094,LJN  MAS EXP    ,LUCKNOW NE     ,16:20,CHENNAI CENTRAL,10:20
16101,RAMESWARAM EXP  ,CHENNAI EGMORE ,21:40,RAMESWARAM     ,11:45
16102,CHENNAI EXPRESS ,RAMESWARAM     ,17:00,CHENNAI EGMORE ,06:30
16105,TIRUCHENDUR EXP ,CHENNAI EGMORE ,16:05,TIRUCHENDUR    ,08:25
16106,TCN CHENNAI EXP ,TIRUCHENDUR    ,18:50,CHENNAI EGMORE ,11:25
16125,MS JODHPUR EXP  ,CHENNAI EGMORE ,15:15,JODHPUR JN     ,10:50
16126,JU MS EXPRESS   ,JODHPUR JN     ,21:15,CHENNAI EGMORE ,16:55
16127,MS GURUVAYUR EX ,CHENNAI EGMORE ,07:40,GURUVAYUR      ,05:55
16128,GUV CHENNAI EXP ,GURUVAYUR      ,21:10,CHENNAI EGMORE ,21:15
16129,MS TN LINK EXP  ,CHENNAI EGMORE ,07:40,TUTICORIN      ,20:35
16130,TN MS LINK EXP  ,TUTICORIN      ,07:35,CHENNAI EGMORE ,21:15
16175,KARAIKAL EXP    ,CHENNAI EGMORE ,23:15,KARAIKAL       ,07:45
16176,CHENNAI EXP     ,KARAIKAL       ,20:45,CHENNAI EGMORE ,05:25
16177,ROCK FORT EXP   ,CHENNAI EGMORE ,22:30,TIRUCHCHIRAPALI,05:30
16178,ROCKFORT EXPRESS,TIRUCHCHIRAPALI,22:25,CHENNAI EGMORE ,05:15
16179,MANNAI EXP      ,CHENNAI EGMORE ,22:00,MANNARGUDI     ,06:25
16180,MANNAI EXP      ,MANNARGUDI     ,21:15,CHENNAI EGMORE ,05:50
16181,SILAMBU EXPRESS ,CHENNAI EGMORE ,20:20,MANAMADURAI JN ,07:30
16182,SILAMBU EXPRESS ,MANAMADURAI JN ,20:15,CHENNAI EGMORE ,06:05
16183,UZHAVAN EXPRESS ,CHENNAI EGMORE ,23:30,THANJAVUR      ,07:15
16184,UZHAVAN EXPRESS ,THANJAVUR      ,20:45,CHENNAI EGMORE ,04:55
16185,VELANKANNI EXP  ,CHENNAI EGMORE ,23:15,VELLANKANNI    ,07:45
16186,VELANKANNI EXP  ,VELLANKANNI    ,20:45,CHENNAI EGMORE ,05:25
16187,ERNAKULAM EXP   ,KARAIKAL       ,16:10,ERNAKULAM JN   ,06:40
16188,ERS KARAIKALEXP ,ERNAKULAM JN   ,22:10,KARAIKAL       ,11:50
16201,SBC SMET EXP    ,KSR BENGALURU  ,15:30,SHIVAMOGGA TOWN,20:45
16202,SMET SBC EXP    ,SHIVAMOGGA TOWN,06:40,KSR BENGALURU  ,11:55
16203,TIRUPATHY EXP   ,CHENNAI CENTRAL,16:35,TIRUPATI       ,20:10
16204,TPTY MAS EXPRESS,TIRUPATI       ,07:20,CHENNAI CENTRAL,11:30
16205,MYSORE EXPRESS  ,TALGUPPA       ,14:30,MYSURU JN      ,22:15
16206,TALGUPPA EXP    ,MYSURU JN      ,06:00,TALGUPPA       ,13:35
16209,AII MYS EXPRESS ,AJMER JN       ,05:35,MYSURU JN      ,06:00
16210,AJMER EXPRESS   ,MYSURU JN      ,18:15,AJMER JN       ,17:30
16215,CHAMUNDI EXP    ,MYSURU JN      ,06:45,KSR BENGALURU  ,09:30
16216,CHAMUNDI EXPRES ,KSR BENGALURU  ,18:15,MYSURU JN      ,21:10
16217,MYS SNSI EXPRESS,MYSURU JN      ,05:00,SAINAGAR SHIRDI,11:30
16218,SNSI MYS EXPRESS,SAINAGAR SHIRDI,23:55,MYSURU JN      ,06:00
16227,TALGUPPA EXP    ,KSR BENGALURU  ,23:00,TALGUPPA       ,07:15
16228,BANGALORE EXP   ,TALGUPPA       ,20:15,KSR BENGALURU  ,04:30
16229,MYS BSB EXP     ,MYSURU JN      ,07:20,VARANASI JN    ,11:55
16230,BSB MYS EXP     ,VARANASI JN    ,21:05,MYSURU JN      ,03:00
16231,MYSORE EXPRESS  ,MAYILADUTURAI J,17:45,MYSURU JN      ,09:00
16232,MAILADUTURAI EXP,MYSURU JN      ,15:30,MAYILADUTURAI J,07:00
16235,MYSORE  EXP     ,TUTICORIN      ,16:35,MYSURU JN      ,10:10
16236,TUTICORIN EXP   ,MYSURU JN      ,17:45,TUTICORIN      ,11:15
16301,VENAD EXPRESS   ,SHORANUR JN    ,14:25,TRIVANDRUM CNTL,22:20
16302,VENAD EXPRESS   ,TRIVANDRUM CNTL,05:00,SHORANUR JN    ,12:45
16303,VANCHINAD EXP   ,ERNAKULAM JN   ,05:00,TRIVANDRUM CNTL,09:55
16304,VANCHINAD EXP   ,TRIVANDRUM CNTL,17:45,ERNAKULAM JN   ,22:50
16305,CANNANORE EXP   ,ERNAKULAM JN   ,06:45,KANNUR         ,12:30
16306,ERNAKULAM EXP   ,KANNUR         ,14:35,ERNAKULAM JN   ,20:20
16307,CANNANORE EXP   ,ALLEPPEY       ,14:55,KANNUR         ,22:55
16308,ALLEPPEY EXP    ,KANNUR         ,05:00,ALLEPPEY       ,13:00
16311,BKN KCVL EXPRES ,BIKANER JN     ,21:40,KOCHUVELI      ,02:50
16312,BIKANER EXPRESS ,KOCHUVELI      ,15:35,BIKANER JN     ,21:50
16313,CANNANORE EXP   ,ERNAKULAM JN   ,16:15,KANNUR         ,22:55
16314,ERNAKULAM EXP   ,KANNUR         ,05:00,ERNAKULAM JN   ,11:30
16315,KOCHUVELI EXP   ,KSR BENGALURU  ,17:15,KOCHUVELI      ,09:00
16316,BANGALORE EXP   ,KOCHUVELI      ,16:45,KSR BENGALURU  ,08:35
16317,HIMSAGAR EXP    ,KANYAKUMARI    ,14:10,SHMATA VD KATRA,15:20
16318,HIMSAGAR EXP    ,SHMATA VD KATRA,21:55,KANYAKUMARI    ,21:30
16324,SHM TVC EXPRESS ,SHALIMAR       ,22:45,TRIVANDRUM CNTL,22:25
16325,AHILYANAGARI EX ,INDORE JN BG   ,16:40,TRIVANDRUM CNTL,17:30
16331,TRIVANDRAM EXP  ,MUMBAI CST     ,12:10,TRIVANDRUM CNTL,03:10
16332,MUMBAI EXPRESS  ,TRIVANDRUM CNTL,04:25,MUMBAI CST     ,20:50
16333,VRL TVC EXPRESS ,VERAVAL        ,04:05,TRIVANDRUM CNTL,05:35
16334,VERAVAL EXPRESS ,TRIVANDRUM CNTL,15:35,VERAVAL        ,16:55
16335,NAGERCOIL EXP   ,GANDHIDHAM BG  ,05:30,NAGERCOIL JN   ,06:45
16336,GANDHIDHAM EXP  ,NAGERCOIL JN   ,14:00,GANDHIDHAM BG  ,13:00
16337,OKHA ERS EXPRESS,OKHA           ,02:00,ERNAKULAM JN   ,22:20
16338,OKHA EXPRESS    ,ERNAKULAM JN   ,20:05,OKHA           ,17:25
16339,NAGARCOIL EXP   ,MUMBAI CST     ,12:10,NAGERCOIL JN   ,03:20
16340,MUMBAI EXPRESS  ,NAGERCOIL JN   ,06:30,MUMBAI CST     ,20:50
16341,TRIVANDRUM EXP  ,GURUVAYUR      ,03:25,TRIVANDRUM CNTL,10:10
16342,GURUVAYUR EXP   ,TRIVANDRUM CNTL,17:30,GURUVAYUR      ,00:15
16343,AMRITHA EXPRESS ,TRIVANDRUM CNTL,22:30,PALGHAT TOWN   ,08:00
16344,AMRITHA EXPRESS ,PALGHAT TOWN   ,21:45,TRIVANDRUM CNTL,06:25
16345,NETRAVATI EXP   ,LOKMANYATILAK T,11:40,TRIVANDRUM CNTL,17:50
16346,NETRAVATHI EXP  ,TRIVANDRUM CNTL,09:50,LOKMANYATILAK T,16:40
16347,MANGALORE EXP   ,TRIVANDRUM CNTL,20:40,MANGALORE CNTL ,10:55
16348,TRIVANDRUM EXP  ,MANGALORE CNTL ,14:20,TRIVANDRUM CNTL,04:45
16349,RAJYA RANI EXP  ,TRIVANDRUM CNTL,22:30,NILAMBUR ROAD  ,07:20
16350,RAJYA RANI EXP  ,NILAMBUR ROAD  ,20:40,TRIVANDRUM CNTL,06:25
16351,NAGARCOIL EXP   ,MUMBAI CST     ,12:10,NAGERCOIL JN   ,04:15
16352,NCJ MUMBAI EXP  ,NAGERCOIL JN   ,05:00,MUMBAI CST     ,20:50
16353,KCG NCJ EXP     ,KACHEGUDA      ,16:00,NAGERCOIL JN   ,21:10
16354,KACHEGUDA EXP   ,NAGERCOIL JN   ,08:10,KACHEGUDA      ,14:00
16359,ERS PATNA EXP   ,ERNAKULAM JN   ,23:00,PATNA JN       ,09:50
16360,PNBE ERS EXPRES ,PATNA JN       ,16:30,ERNAKULAM JN   ,23:15
16381,KANYAKUMARI EXP ,MUMBAI CST     ,15:45,KANYAKUMARI    ,12:00
16382,CAPE MUMBAI EXP ,KANYAKUMARI    ,06:55,MUMBAI CST     ,04:40
16501,ADI YPR EXPRESS ,AHMEDABAD JN   ,18:00,YESVANTPUR JN  ,04:20
16502,AHMADABAD EXP   ,YESVANTPUR JN  ,13:30,AHMEDABAD JN   ,03:45
16505,GIMB SBC EXPRESS,GANDHIDHAM BG  ,09:00,KSR BENGALURU  ,03:15
16506,GANDHIDHAM EXP  ,KSR BENGALURU  ,21:50,GANDHIDHAM BG  ,13:00
16507,BGKT SBCEXP     ,BHAGAT KI KOTHI,05:40,KSR BENGALURU  ,03:15
16508,JODHPUR EXPRESS ,KSR BENGALURU  ,21:50,JODHPUR JN     ,16:50
16515,YPR KAWR EXPRES ,YESVANTPUR JN  ,07:00,KARWAR         ,23:00
16516,KAWR YPR EXPRES ,KARWAR         ,05:30,YESVANTPUR JN  ,22:00
16517,KANNUR  EXP     ,KSR BENGALURU  ,20:30,KANNUR         ,11:20
16518,BANGALORE EXP   ,KANNUR         ,16:30,KSR BENGALURU  ,08:20
16523,KARWAR  EXP     ,KSR BENGALURU  ,20:30,KARWAR         ,14:15
16524,BANGALORE EXP   ,KARWAR         ,14:55,KSR BENGALURU  ,08:20
16525,BANGALORE EXP   ,KANYAKUMARI    ,10:30,KSR BENGALURU  ,07:20
16526,KANYAKUMARI EXP ,KSR BENGALURU  ,20:00,KANYAKUMARI    ,15:20
16527,YPR CANNANORE EX,YESVANTPUR JN  ,20:00,KANNUR         ,09:20
16528,YESVANTPUR EXP  ,KANNUR         ,18:05,YESVANTPUR JN  ,08:00
16529,UDYAN EXPRESS   ,MUMBAI CST     ,08:05,KSR BENGALURU  ,08:50
16531,SBC GARIB NAWAJ ,AJMER JN       ,05:30,KSR BENGALURU  ,04:45
16532,GARIB NAWAZ EXP ,KSR BENGALURU  ,17:00,AJMER JN       ,17:30
16533,BGKT SBC EXPRES ,BHAGAT KI KOTHI,05:40,KSR BENGALURU  ,04:45
16534,SBC JODHPUR EXP ,KSR BENGALURU  ,17:00,JODHPUR JN     ,16:50
16535,GOLGUMBAZ EXP   ,MYSURU JN      ,16:00,SOLAPUR JN     ,12:40
16536,GOLGUMBAZ EXP   ,SOLAPUR JN     ,14:10,MYSURU JN      ,11:05
16557,RAJYARANI EXP   ,MYSURU JN      ,14:30,KSR BENGALURU  ,17:10
16558,RAJYARANI EXP   ,KSR BENGALURU  ,10:30,MYSURU JN      ,13:15
16561,KOCHUVELI  ACEXP,YESVANTPUR JN  ,15:20,KOCHUVELI      ,06:50
16562,KCVL YPR AC EXP ,KOCHUVELI      ,12:40,YESVANTPUR JN  ,04:30
16565,MANGALOREEXP    ,YESVANTPUR JN  ,23:55,MANGALORE CNTL ,17:40
16566,YESVANTPUR  EXP ,MANGALORE CNTL ,20:00,YESVANTPUR JN  ,13:30
16569,YPR KCG EXP     ,YESVANTPUR JN  ,14:30,KACHEGUDA      ,03:40
16570,KCG YPR EXP     ,KACHEGUDA      ,14:00,YESVANTPUR JN  ,03:30
16571,YPR BIDR EXP    ,YESVANTPUR JN  ,19:00,BIDAR          ,09:30
16572,BIDR YPR EXP    ,BIDAR          ,18:10,YESVANTPUR JN  ,07:40
16573,PUDUCHERRY EXP  ,YESVANTPUR JN  ,21:00,PUDUCHERRY     ,07:50
16574,YESVANTPUR EXP  ,PUDUCHERRY     ,21:00,YESVANTPUR JN  ,08:20
16577,YPR HRR EXP     ,YESVANTPUR JN  ,16:15,HARIHAR        ,23:45
16578,HRR YPR EXP     ,HARIHAR        ,05:00,YESVANTPUR JN  ,11:25
16579,SHIMOGA EXP     ,YESVANTPUR JN  ,09:00,SHIVAMOGGA TOWN,14:45
16580,YESVANTHPUR EXP ,SHIVAMOGGA TOWN,15:30,YESVANTPUR JN  ,21:00
16587,YPR BKN EXP     ,YESVANTPUR JN  ,05:00,BIKANER JN     ,07:10
16588,BKN YPR EXPRESS ,BIKANER JN     ,22:10,YESVANTPUR JN  ,03:15
16589,RANI CHENNAMMA  ,KSR BENGALURU  ,21:15,C SHAHUMHARAJ T,13:40
16590,RANICHENNAMA EX ,C SHAHUMHARAJ T,14:20,KSR BENGALURU  ,07:00
16591,HAMPI EXPRESS   ,HUBBALLI JN    ,18:20,MYSURU JN      ,09:20
16592,HAMPI EXP       ,MYSURU JN      ,18:40,HUBBALLI JN    ,10:40
16593,NED SBC EXP     ,H SAHIB NANDED ,06:00,KSR BENGALURU  ,05:30
16594,SBC NANDED EXP  ,KSR BENGALURU  ,22:45,H SAHIB NANDED ,23:30
16603,MAVELI EXPRESS  ,MANGALORE CNTL ,17:45,TRIVANDRUM CNTL,07:15
16604,MAVELI EXPRESS  ,TRIVANDRUM CNTL,19:25,MANGALORE CNTL ,08:05
16605,ERNAD EXPRESS   ,MANGALORE CNTL ,07:20,NAGERCOIL JN   ,23:15
16606,ERNAD EXPRESS   ,NAGERCOIL JN   ,02:00,MANGALORE CNTL ,17:15
16609,COIMBATORE EXP  ,NAGERCOIL JN   ,20:25,COIMBATORE JN  ,07:20
16610,NAGERCOIL EXP   ,COIMBATORE JN  ,20:30,NAGERCOIL JN   ,07:05
16611,TN CBE LINK EXP ,TUTICORIN      ,21:30,COIMBATORE JN  ,07:20
16612,CBE TN LINK EXP ,COIMBATORE JN  ,20:30,TUTICORIN      ,06:10
16613,COIMBATORE EXP  ,RAJKOT JN      ,05:00,COIMBATORE JN  ,02:00
16614,RAJKOT EXPRESS  ,COIMBATORE JN  ,23:30,RAJKOT JN      ,19:00
16615,CHEMMOZHI EXP   ,MANNARGUDI     ,20:10,COIMBATORE JN  ,05:00
16616,CHEMMOZHI EXP   ,COIMBATORE JN  ,00:15,MANNARGUDI     ,07:55
16617,COIMBATORE EXP  ,RAMESWARAM     ,19:00,COIMBATORE JN  ,06:40
16618,RAMESWARAM EXP  ,COIMBATORE JN  ,19:45,RAMESWARAM     ,06:45
16629,MALABAR EXP     ,TRIVANDRUM CNTL,18:45,MANGALORE CNTL ,10:15
16630,MALABAR EXPRESS ,MANGALORE CNTL ,18:15,TRIVANDRUM CNTL,09:05
16649,PARASURAM EXP   ,MANGALORE CNTL ,05:00,NAGERCOIL JN   ,20:50
16650,PARASURAM EXP   ,NAGERCOIL JN   ,04:20,MANGALORE CNTL ,20:40
16687,NAVYUG EXP      ,MANGALORE CNTL ,16:50,SHMATA VD KATRA,15:20
16688,NAVYUG EXPRESS  ,SHMATA VD KATRA,21:55,MANGALORE CNTL ,22:45
16713,RAMESWARAM EXP  ,CHENNAI EGMORE ,17:00,RAMESWARAM     ,04:45
16714,RMM CHENNAI EXP ,RAMESWARAM     ,20:00,CHENNAI EGMORE ,08:20
16723,ANANTAPURI EXP  ,CHENNAI EGMORE ,19:35,TRIVANDRUM CNTL,12:10
16724,ANANTAPURI EXP  ,TRIVANDRUM CNTL,16:20,CHENNAI EGMORE ,08:40
16733,RMM OKHA EXPRES ,RAMESWARAM     ,21:30,OKHA           ,13:45
16734,RAMESWARAM EXP  ,OKHA           ,06:30,RAMESWARAM     ,19:45
16779,TPTY RMM EXP    ,TIRUPATI       ,12:40,RAMESWARAM     ,08:45
16780,RMM TPTY EXP    ,RAMESWARAM     ,16:00,TIRUPATI       ,10:35
16787,TEN JAMMU EXP   ,TIRUNELVELI    ,16:00,SHMATA VD KATRA,15:20
16853,TRICHY EXPRESS  ,CHENNAI EGMORE ,08:15,TIRUCHCHIRAPALI,16:35
16854,CHENNAI EXPRESS ,TIRUCHCHIRAPALI,09:35,CHENNAI EGMORE ,18:00
16855,MANGALORE EXP   ,PUDUCHERRY     ,16:35,MANGALORE CNTL ,09:30
16856,PUDUCHERRY EXP  ,MANGALORE CNTL ,16:50,PUDUCHERRY     ,10:00
16857,MANGALORE EXP   ,PUDUCHERRY     ,16:35,MANGALORE CNTL ,11:10
16858,PUDUCHERRY EXP  ,MANGALORE CNTL ,16:50,PUDUCHERRY     ,10:00
16859,MS MANGALORE EXP,CHENNAI EGMORE ,22:15,MANGALORE CNTL ,21:45
16860,MAQ CHENNAI EXP ,MANGALORE CNTL ,06:50,CHENNAI EGMORE ,05:05
16861,PDY CAPE EXPRESS,PUDUCHERRY     ,11:30,KANYAKUMARI    ,03:15
16862,PUDUCHERRY EXP  ,KANYAKUMARI    ,13:35,PUDUCHERRY     ,05:25
16863,BGKT MQ EXPRESS ,BHAGAT KI KOTHI,15:00,MANNARGUDI     ,18:00
16864,MQ BGKT EXP     ,MANNARGUDI     ,11:30,BHAGAT KI KOTHI,17:25
17001,SNSI SC EXP     ,SAINAGAR SHIRDI,17:10,SECUNDERABAD JN,09:25
17002,SC SNSI EXP     ,SECUNDERABAD JN,16:40,SAINAGAR SHIRDI,09:15
17003,HYB KOP EXPRESS ,HYDERABAD DECAN,23:10,C SHAHUMHARAJ T,22:40
17004,KOP HYB EXPRESS ,C SHAHUMHARAJ T,07:30,HYDERABAD DECAN,06:45
17005,HYB RXL EXPRESS ,HYDERABAD DECAN,21:30,RAXAUL JN      ,17:25
17006,DBG HYB EXPRESS ,RAXAUL JN      ,03:15,HYDERABAD DECAN,23:15
17007,SC DBG EXPRESS  ,SECUNDERABAD JN,22:00,DARBHANGA JN   ,13:05
17008,DBG SC EXPRESS  ,DARBHANGA JN   ,07:00,SECUNDERABAD JN,22:10
17013,PUNE HYB EXPRESS,PUNE JN        ,14:15,HYDERABAD DECAN,04:30
17014,HYB PUNE EXP    ,HYDERABAD DECAN,22:45,PUNE JN        ,13:15
17015,VISAKHA EXPRESS ,BHUBANESWAR    ,08:35,SECUNDERABAD JN,07:30
17016,VISAKHA EXP     ,SECUNDERABAD JN,16:50,BHUBANESWAR    ,15:40
17017,RJT SC EXPRESS  ,RAJKOT JN      ,05:00,SECUNDERABAD JN,10:30
17018,RAJKOT EXPRESS  ,SECUNDERABAD JN,15:00,RAJKOT JN      ,19:00
17019,AII HYB EXP     ,AJMER JN       ,17:40,HYDERABAD DECAN,08:10
17020,HYB AII  EXP    ,HYDERABAD DECAN,15:15,AJMER JN       ,03:05
17023,TUNGABHADRA EXP ,SECUNDERABAD JN,07:30,KURNOOL CITY   ,12:30
17024,TUNGABHADRA EXP ,KURNOOL CITY   ,15:00,SECUNDERABAD JN,19:55
17025,MUGR SC EXPRESS ,MANUGURU       ,21:30,SECUNDERABAD JN,04:45
17026,SC MUGR EXPRESS ,SECUNDERABAD JN,23:45,MANUGURU       ,07:00
17031,HYDERABAD EXP   ,MUMBAI CST     ,12:45,HYDERABAD DECAN,05:55
17032,MUMBAI EXP      ,HYDERABAD DECAN,20:40,MUMBAI CST     ,13:05
17035,KAGHAZNAGAR EXP ,SECUNDERABAD JN,08:20,SIRPUR KAGAZNGR,13:45
17036,KAGHAZNAGAR EXP ,SIRPUR KAGAZNGR,14:50,SECUNDERABAD JN,20:20
17037,SC BKN EXP      ,SECUNDERABAD JN,23:35,BIKANER JN     ,17:00
17038,BKN SC EXP      ,BIKANER JN     ,15:40,SECUNDERABAD JN,08:50
17049,MTM SC EXP      ,MACHILIPATNAM  ,20:30,SECUNDERABAD JN,05:05
17050,MACHILIPTNM EXP ,SECUNDERABAD JN,22:45,MACHILIPATNAM  ,07:15
17057,DEVAGIRI EXP    ,MUMBAI CST     ,21:10,SECUNDERABAD JN,14:30
17058,DEVAGIRI EXP    ,SECUNDERABAD JN,12:25,MUMBAI CST     ,07:10
17063,AJANTA EXPRESS  ,MANMAD JN      ,21:00,SECUNDERABAD JN,08:55
17064,AJANTA EXPRESS  ,SECUNDERABAD JN,18:10,MANMAD JN      ,06:55
17201,GOLCONDA EXP    ,GUNTUR JN      ,05:45,SECUNDERABAD JN,13:45
17202,GOLCONDA EXP    ,SECUNDERABAD JN,13:05,GUNTUR JN      ,21:20
17203,BVC KAKINADA EX ,BHAVNAGAR TRMUS,04:25,KAKINADA PORT  ,21:15
17204,COA BVC EXPRESS ,KAKINADA PORT  ,03:45,BHAVNAGAR TRMUS,19:50
17205,SNSI COA EXP    ,SAINAGAR SHIRDI,17:10,KAKINADA PORT  ,19:35
17206,COA SNSI EXP    ,KAKINADA PORT  ,06:00,SAINAGAR SHIRDI,09:15
17207,SNSI BZA EXP    ,SAINAGAR SHIRDI,17:10,VIJAYAWADA JN  ,15:25
17208,BZA SNSI EXP    ,VIJAYAWADA JN  ,10:30,SAINAGAR SHIRDI,09:15
17209,SESHADRI EXPRES ,KSR BENGALURU  ,11:00,KAKINADA TOWN  ,06:45
17210,SHESHADRI EXP   ,KAKINADA TOWN  ,17:35,KSR BENGALURU  ,12:30
17211,KONDAVEEDU EXP  ,MACHILIPATNAM  ,15:15,YESVANTPUR JN  ,09:45
17212,KONDAVEEDU EXP  ,YESVANTPUR JN  ,14:30,MACHILIPATNAM  ,07:15
17213,NS NSL EXP      ,NARASAPUR      ,10:25,NAGARSOL       ,08:30
17214,NSL NS EXP      ,NAGARSOL       ,11:15,NARASAPUR      ,09:30
17221,COA  LTT EXPRESS,KAKINADA PORT  ,08:45,LOKMANYATILAK T,11:05
17222,LTT COA EXPRESS ,LOKMANYATILAK T,12:25,KAKINADA PORT  ,13:45
17223,HUNDRY EXPRESS  ,SECUNDERABAD JN,16:45,KURNOOL CITY   ,21:35
17224,HUNDRY EXPRESS  ,KURNOOL CITY   ,06:05,SECUNDERABAD JN,10:45
17225,AMARAVATHI EXP  ,VIJAYAWADA JN  ,19:45,HUBBALLI JN    ,11:20
17226,AMARAVATI EXP   ,HUBBALLI JN    ,13:30,VIJAYAWADA JN  ,05:15
17229,SABARI EXPRESS  ,TRIVANDRUM CNTL,07:15,HYDERABAD DECAN,13:40
17230,SABARI EXP      ,HYDERABAD DECAN,11:25,TRIVANDRUM CNTL,18:20
17231,NS NSL EXP      ,NARASAPUR      ,10:25,NAGARSOL       ,10:00
17232,NSL NS EXP      ,NAGARSOL       ,11:15,NARASAPUR      ,09:30
17233,BHAGYANAGAR EXP ,SECUNDERABAD JN,15:25,BALHARSHAH     ,01:00
17234,BHAGYANAGAR EXP ,BALHARSHAH     ,02:10,SECUNDERABAD JN,10:45
17235,NAGERCOIL EXP   ,KSR BENGALURU  ,17:15,NAGERCOIL JN   ,07:50
17236,BANGALORE EXP   ,NAGERCOIL JN   ,19:05,KSR BENGALURU  ,09:05
17239,SIMHADRI EXP    ,GUNTUR JN      ,08:00,VISAKHAPATNAM  ,17:50
17240,SIMHADRI EXPRESS,VISAKHAPATNAM  ,07:10,GUNTUR JN      ,15:30
17249,MTM SC EXP      ,MACHILIPATNAM  ,20:30,SECUNDERABAD JN,05:05
17250,MACHILIPTNM EXP ,SECUNDERABAD JN,22:30,MACHILIPATNAM  ,06:50
17255,NS HYDRABAD EXP ,NARASAPUR      ,18:55,HYDERABAD DECAN,05:25
17256,NARASAPUR EXP   ,HYDERABAD DECAN,21:45,NARASAPUR      ,08:40
17301,MYS DHARWAD EXP ,MYSURU JN      ,22:30,DHARWAR        ,08:15
17302,DWR MYSORE EXP  ,DHARWAR        ,20:30,MYSURU JN      ,07:00
17305,NZM LINK EXP    ,HUBBALLI JN    ,16:15,H NIZAMUDDIN   ,06:20
17307,BASAVA EXPRESS  ,MYSURU JN      ,13:30,BAGALKOT       ,12:10
17308,BASAVA EXPRESS  ,BAGALKOT       ,14:10,MYSURU JN      ,13:50
17309,YPR VASCO EXP   ,YESVANTPUR JN  ,14:30,VASCO DA GAMA  ,06:00
17310,YPR BIWEEKLY EX ,VASCO DA GAMA  ,20:45,YESVANTPUR JN  ,11:25
17311,MAS VASCO EXP   ,CHENNAI CENTRAL,13:50,VASCO DA GAMA  ,13:00
17312,VSG CHENNAI EXP ,VASCO DA GAMA  ,14:30,CHENNAI CENTRAL,11:55
17313,MAS HUBLI EXP   ,CHENNAI CENTRAL,13:50,HUBBALLI JN    ,06:25
17314,UBL CHENNAI EXP ,HUBBALLI JN    ,20:25,CHENNAI CENTRAL,11:55
17315,VELANKANNI EXP  ,VASCO DA GAMA  ,09:00,VELLANKANNI    ,12:25
17316,VLNK VSG EXP    ,VELLANKANNI    ,23:45,VASCO DA GAMA  ,06:00
17317,LOKAMANYA TT EXP,HUBBALLI JN    ,15:45,LOKMANYATILAK T,07:00
